acorn.io/acorn-cli|acorn-io/runtime|acorn
akuity.io/kargo|akuity/kargo|kargo
anchore.com/syft|anchore/syft|syft
aquasecurity.github.io/trivy|aquasecurity/trivy|trivy
arkade.dev|alexellis/arkade|arkade
asdf-vm.com|asdf-vm/asdf|asdf
atlasgo.io|ariga/atlas|atlas
authzed.com/spicedb|authzed/spicedb|spicedb
aux4.io|aux4/aux4|aux4
aws.amazon.com/session-manager-plugin|aws/session-manager-plugin|session-manager-plugin
blacktop.github.io/ipsw|blacktop/ipsw|ipsw
budimanjojo.github.io/talhelper|budimanjojo/talhelper|talhelper
buf.build|bufbuild/buf|buf
buildpacks.io|buildpacks/pack|pack
caddyserver.com|caddyserver/caddy|caddy
carapace.sh|carapace-sh/carapace-bin|carapace
casdoor.org|casdoor/casdoor|casdoor
cert-manager.io|cert-manager/cert-manager|cert-manager-controllermainreconcilerloop
cfssl.org|cloudflare/cfssl|cfssl
changie.dev|miniscruff/changie|changie
charm.sh/crush|charmbracelet/crush|crush
charm.sh/freeze|charmbracelet/freeze|freeze
charm.sh/glow|charmbracelet/glow|glow
charm.sh/gum|charmbracelet/gum|gum
charm.sh/melt|charmbracelet/melt|melt
charm.sh/mods|charmbracelet/mods|mods
charm.sh/pop|charmbracelet/pop|pop
charm.sh/skate|charmbracelet/skate|skate
charm.sh/vhs|charmbracelet/vhs|vhs
chezmoi.io|twpayne/chezmoi|chezmoi
circleci.com|CircleCI-Public/circleci-cli|circleci
cloudflare.com/cloudflared|cloudflare/cloudflared|cloudflared
cloudnative-pg.io|cloudnative-pg/cloudnative-pg|kubectl-cnpg
cnquery.io|mondoohq/mql|cnquery
coder.com|coder/coder|coder
cointop.sh|cointop-sh/cointop|cointop
conftest.dev|open-policy-agent/conftest|conftest
connectrpc.org/protoc-gen-connect-go|connectrpc/connect-go|protoc-gen-connect-go
consul.io|hashicorp/consul|consul
coredns.io|coredns/coredns|coredns
crazymax.dev/diun|crazy-max/diun|diun
creativeprojects.github.io/resticprofile|creativeprojects/resticprofile|resticprofile
ctop.sh|bcicen/ctop|ctop
cuelang.org|cue-lang/cue|cue
d2lang.com|terrastruct/d2|d2
dagger.io|dagger/dagger|dagger
dapr.io|dapr/cli|dapr
daytona.io|daytonaio/daytona|daytona
dblab.danvergara.com|danvergara/dblab|dblab
depot.dev|depot/cli|depot
devpod.sh/cli|loft-sh/devpod|devpod
dexidp.io|dexidp/dex|dex
dgraph.io|hypermodeinc/dgraph|dgraph
digger.dev|diggerhq/digger|digger
digitalocean.com/doctl|digitalocean/doctl|doctl
dingolang.org|MadAppGang/dingo|dingo
docker.com/buildx|docker/buildx|buildx
docker.com/cli|docker/cli|docker
docker.com/compose|docker/compose|docker-compose
dozzle.dev|amir20/dozzle|dozzle
earthly.dev/earthly|earthly/earthly|earthly
elv.sh|elves/elvish|elvish
encore.dev|encoredev/encore|encore
external-secrets.io|external-secrets/external-secrets|external-secrets
f1bonacc1.github.io/process-compose|F1bonacc1/process-compose|process-compose
filippo.io/age|FiloSottile/age|age
filippo.io/yubikey-agent|FiloSottile/yubikey-agent|yubikey-agent
flipt.io|flipt-io/flipt|flipt
fly.io|superfly/flyctl|fly
fullstory.com/grpcurl|fullstorydev/grpcurl|grpcurl
fury.co|gemfury/cli|fury
fx.wtf|antonmedv/fx|fx
getsops.io|getsops/sops|sops
git-town.com|git-town/git-town|git-town
github.com/99designs/aws-vault|99designs/aws-vault|aws-vault
github.com/Andriiklymiuk/corgi|Andriiklymiuk/corgi|corgi
github.com/J-Siu/go-png2ico|J-Siu/go-png2ico|go-png2ico
github.com/Lifailon/lazyjournal|Lifailon/lazyjournal|lazyjournal
github.com/MinseokOh/toml-cli|MinseokOh/toml-cli|toml-cli
github.com/OutOfBedlam/tine|OutOfBedlam/tine|tine
github.com/TomWright/dasel|TomWright/dasel|dasel
github.com/Versent/saml2aws|Versent/saml2aws|saml2aws
github.com/Zouuup/landrun|Zouuup/landrun|landrun
github.com/abhimanyu003/sttr|abhimanyu003/sttr|sttr
github.com/abiosoft/colima|abiosoft/colima|colima
github.com/abtreece/confd|abtreece/confd|confd
github.com/achannarasappa/ticker|achannarasappa/ticker|ticker
github.com/adnanh/webhook|adnanh/webhook|webhook
github.com/alexellis/k3sup|alexellis/k3sup|k3sup
github.com/amacneil/dbmate|amacneil/dbmate|dbmate
github.com/anchore/grype|anchore/grype|grype
github.com/aswinkarthik/csvdiff|aswinkarthik/csvdiff|csvdiff
github.com/awslabs/eks-node-viewer|awslabs/eks-node-viewer|eks-node-viewer
github.com/axllent/mailpit|axllent/mailpit|mailpit
github.com/bazelbuild/bazelisk|bazelbuild/bazelisk|bazelsymlinktobazelisk
github.com/bazelbuild/buildtools|bazelbuild/buildtools|buildifier
github.com/benkehoe/aws-whoami-golang|benkehoe/aws-whoami-golang|aws-whoami
github.com/bitnami-labs/sealed-secrets|bitnami-labs/sealed-secrets|kubeseal
github.com/blacktop/lporg|blacktop/lporg|lporg
github.com/boyter/scc|boyter/scc|scc
github.com/brucedom/bruce|brucedom/bruce|bruce
github.com/caarlos0/org-stats|caarlos0/org-stats|org-stats
github.com/caarlos0/svu|caarlos0/svu|svu
github.com/caddyserver/xcaddy|caddyserver/xcaddy|xcaddy
github.com/canonical/pebble|canonical/pebble|pebble
github.com/chrusty/protoc-gen-jsonschema|chrusty/protoc-gen-jsonschema|protoc-gen-jsonschema
github.com/cirruslabs/cirrus-cli|cirruslabs/cirrus-cli|cirrus
github.com/clever/microplane|clever/microplane|mp
github.com/cloudbase/garm-provider-openstack|cloudbase/garm-provider-openstack|garm-provider-openstack
github.com/cloudbase/garm|cloudbase/garm|garm
github.com/containerd/nerdctl|containerd/nerdctl|nerdctl
github.com/containers/buildah|containers/buildah|buildah
github.com/containers/gvisor-tap-vsock|containers/gvisor-tap-vsock|gvproxy
github.com/context-labs/mactop|context-labs/mactop|mactop
github.com/cpuguy83/go-md2man|cpuguy83/go-md2man|go-md2man
github.com/daixiang0/gci|daixiang0/gci|gci
github.com/darthsim/overmind|darthsim/overmind|overmind
github.com/deepmap/oapi-codegen|oapi-codegen/oapi-codegen|oapi-codegen
github.com/derailed/popeye|derailed/popeye|popeye
github.com/dundee/gdu|dundee/gdu|gdu
