spacetimedb.com|clockworklabs/SpacetimeDB|spacetime
trippy.cli.rs|fujiapple852/trippy|trip
bittensor.com|opentensor/bittensor|btcli
sniffnet.net|GyulyVGC/sniffnet|sniffnet
solana.com|solana-labs/solana|solana
quickwit.io|quickwit-oss/quickwit|quickwit
dprint.dev|dprint/dprint|dprint
amp.rs|jmacdonald/amp|amp
raccoin.org|bjorn/raccoin|raccoin
rome.tools|rome/tools|rome
surrealdb.com|surrealdb/surrealdb|surreal
squawkhq.com|sbdchd/squawk|squawk
taplo.tamasfe.dev|tamasfe/taplo|taplo
jetporch.com|jetporch/jetporch|jetp
typst.app|typst/typst|typst
ast-grep.github.io|ast-grep/ast-grep|sg
hjson.github.io|hjson/hjson-rust|hjson
railway.app|railwayapp/cli|railway
vanna.ai|vanna-ai/vanna|vanna.ai
nushell.sh|nushell/nushell|nu
rioterm.com|raphamorim/rio|rio
numbat.dev|sharkdp/numbat|numbat
edgedb.com|edgedb/edgedb-cli|edgedb
getzola.org|getzola/zola|zola
lychee.cli.rs|lycheeverse/lychee|lychee
getfoundry.sh|foundry-rs/foundry|forge
dns.lookup.dog|ogham/dog|dog
hurl.dev|Orange-OpenSource/hurl|hurl
convco.github.io|convco/convco|convco
nixpacks.com|railwayapp/nixpacks|nixpacks
mesa3d.org|lm-sensors/lm-sensors|mesa3d.org
checkov.io|bridgecrewio/checkov|checkov
doctave.com|Doctave/doctave|doctave
starship.rs|starship/starship|starship
helix-editor.com|helix-editor/helix|hx
alacritty.org|alacritty/alacritty|alacritty
dotenv-linter.github.io|dotenv-linter/dotenv-linter|dotenvlinter
wasmer.io|wasmerio/wasmer|wasmer
cocogitto.io|cocogitto/cocogitto|cog
materialize.com|MaterializeInc/materialize|mz
mise.jdx.dev|jdx/mise|rtx
jless.io|PaulJuliusMartinez/jless|jless
xplr.dev|sayanarijit/xplr|xplr
getsynth.com|shuttle-hq/synth|synth
pkgx.sh|pkgxdev/pkgx|pkgx
tlr.dev|SpectralOps/teller|teller
git-cliff.org|orhun/git-cliff|gitcliff
sentry.io|getsentry/sentry-cli|sentrycli
biomejs.dev|biomejs/biome|biome
chompbuild.com|guybedford/chomp|chomp
clog-tool.github.io|clog-tool/clog-cli|clog
scryer.pl|mthom/scryer-prolog|scryerprolog
volta.sh|volta-cli/volta|volta
leo-lang.org|AleoHQ/leo|leo
ordinals.com|casey/ord|ord
just.systems|casey/just|just
onefetch.dev|o2sh/onefetch|onefetch
bore.pub|ekzhang/bore|bore
open.longbridge.com|longbridge/longbridge-terminal|longbridge
prefix.dev|prefix-dev/pixi|pixi
mozilla.org/cbindgen|mozilla/cbindgen|cbindgen
fuellabs.github.io/sway|FuelLabs/sway|forc
brxken128.github.io/dexios|brxken128/dexios|dexios
sshx.io|ekzhang/sshx|sshx
tree-sitter.github.io|tree-sitter/tree-sitter|treesitter
rust-script.org|fornwall/rust-script|rustscript
iroh.computer|n0-computer/iroh|iroh
tectonic-typesetting.github.io|tectonic-typesetting/tectonic|tectonic
browser-use.com|browser-use/browser-use|browser-use.com
amber-lang.com|Ph0enixKM/Amber|amber
gleam.run|gleam-lang/gleam|gleam
